correct,expected,finger,label,lsl_time,pressed,rt,trial
,,,experiment_start,740337.4919486,,,
,,thumb_middle,cue_thumb_middle,740338.8533913,,,0
False,thumb_middle,,timeout_thumb_middle,740342.8534963,,,0
,,thumb_index,cue_thumb_index,740345.8786844,,,1
False,thumb_index,,timeout_thumb_index,740349.8787969,,,1
,,thumb_ring,cue_thumb_ring,740352.9728571,,,2
False,thumb_ring,,timeout_thumb_ring,740356.9729873,,,2
,,thumb_middle,cue_thumb_middle,740360.0114675,,,3
False,thumb_middle,,timeout_thumb_middle,740364.0116082,,,3
,,thumb_index,cue_thumb_index,740367.2131222,,,4
False,thumb_index,,timeout_thumb_index,740371.2132161,,,4
,,thumb_index,cue_thumb_index,740374.4327413,,,5
False,thumb_index,,timeout_thumb_index,740378.4328054,,,5
,,thumb_index,cue_thumb_index,740381.5590099,,,6
False,thumb_index,,timeout_thumb_index,740385.5591202,,,6
,,thumb_middle,cue_thumb_middle,740388.7574699,,,7
False,thumb_middle,,timeout_thumb_middle,740392.7584494,,,7
,,thumb_little,cue_thumb_little,740396.0034715,,,8
False,thumb_little,,timeout_thumb_little,740400.0036422,,,8
,,thumb_little,cue_thumb_little,740402.840214,,,9
False,thumb_little,,timeout_thumb_little,740406.8404863,,,9
,,thumb_ring,cue_thumb_ring,740409.9540997,,,10
False,thumb_ring,,timeout_thumb_ring,740413.9541935,,,10
,,thumb_middle,cue_thumb_middle,740416.8637605,,,11
False,thumb_middle,,timeout_thumb_middle,740420.863827,,,11
,,thumb_little,cue_thumb_little,740423.9784176,,,12
False,thumb_little,,timeout_thumb_little,740427.9785394,,,12
,,thumb_little,cue_thumb_little,740430.8910622,,,13
False,thumb_little,,timeout_thumb_little,740434.8914118,,,13
,,thumb_ring,cue_thumb_ring,740438.1162991,,,14
False,thumb_ring,,timeout_thumb_ring,740442.1164562,,,14
,,thumb_ring,cue_thumb_ring,740445.2214601,,,15
False,thumb_ring,,timeout_thumb_ring,740449.2215498,,,15
,,,experiment_end,740451.0220748,,,
